----------------------
Number of qubits: 8, Hamming weight: 4
Qubit indices are labelled from the right
----------------------

ESP state vector in the qubit Fock space

11111000 (Hamming wt: 5): 0.0 + 0.0im
11111001 (Hamming wt: 6): 0.0 + 0.0im
11111010 (Hamming wt: 6): 0.0 + 0.0im
11111011 (Hamming wt: 7): 0.0 + 0.0im
11111100 (Hamming wt: 6): 0.0 + 0.0im
11111101 (Hamming wt: 7): 0.0 + 0.0im
11111110 (Hamming wt: 7): 0.0 + 0.0im
11111111 (Hamming wt: 8): 0.0 + 0.0im

----------------------

ESP state vector in the qubit Hilbert space

00001111: -0.10591771854733023 - 0.014690391771539042im
00010111: -0.007962916030290382 - 0.09458117667225804im
00100111: -0.00607873046659844 + 0.01434970441425372im
01000111: 0.0651106273030439 - 0.007034607726284871im
10000111: -0.004115028811382972 - 0.0035816419950747353im
00011011: -0.04352842004710319 - 0.2022413733465656im
00101011: -0.009147980839642467 + 0.03271112674361408im
01001011: 0.13879293789396327 - 0.03332222185361096im
10001011: -0.009891994826234967 - 0.006597556082935075im
00110011: -0.030110430160854025 - 0.001533424465973393im
01010011: 0.0559560061656577 + 0.11367164850065573im
10010011: 0.0037810606344293772 - 0.009853663501636618im
01100011: 0.0005668485145805514 - 0.020794647918427726im
10100011: -0.001303119786876676 + 0.0011422619228507im
11000011: 0.006858526479608718 + 0.002447468417828055im
00011101: -0.25224418762332596 - 0.3188804496415753im
00101101: 0.012250740682143145 + 0.06562316585505633im
01001101: 0.21584590838201584 - 0.17919224434384387im
10001101: -0.023169003534107495 - 0.0030515198697348704im
00110101: -0.05442981538354461 + 0.02342229963249881im
01010101: 0.19730912442514215 + 0.15190582918928475im
10010101: -0.0018820669209143783 - 0.020657566483372098im
01100101: -0.017043645544162274 - 0.03716288986493972im
10100101: -0.0013069043282158757 + 0.0031450632306266116im
11000101: 0.014218545920219077 - 0.0016349907332781676im
00111001: -0.11114466550173445 + 0.06577594498179104im
01011001: 0.46878878172651933 + 0.27347951973517043im
10011001: -0.00981594643572143 - 0.044131981861403755im
01101001: -0.04718305501704472 - 0.07559332499489553im
10101001: -0.001950107496993329 + 0.007162322030338723im
11001001: 0.030281444219865214 - 0.007490338330613032im
01110001: 0.05624140853963432 - 0.05561657263687006im
10110001: -0.006582550990161113 - 0.0002899443106699081im
11010001: 0.01239898119706135 + 0.024757555535530933im
11100001: 9.268525680615372e-5 - 0.004545255609202102im
00011110: 0.002876992134848575 + 0.14108678218262752im
00101110: 0.010375331725112909 - 0.020716851433319243im
01001110: -0.09727229619355855 + 0.004284592540076956im
10001110: 0.005767184828716238 + 0.00570311203551228im
00110110: 0.019964444493505942 + 0.004938352436341278im
01010110: -0.0227048242470798 - 0.08338989678802541im
10010110: -0.0038120483036177795 + 0.0061073918636154485im
01100110: -0.003080915201595107 + 0.013851633633463825im
10100110: 0.0010210276914500202 - 0.0005956417337157139im
11000110: -0.004274918897977419 - 0.002529917463565478im
00111010: 0.04453127126775533 + 0.005120651315008336im
01011010: -0.07228241447644947 - 0.17394751787312393im
10011010: -0.0065413003956300425 + 0.014263006441104339im
01101010: -0.0028061565063500758 + 0.030800373753187664im
10101010: 0.002041440573335084 - 0.0015716795862158284im
11001010: -0.00994501357352546 - 0.004279549473518934im
01110010: -0.0272175381205297 + 0.0035847402007512415im
10110010: 0.0017595355661946031 + 0.0014607417368838907im
11010010: 0.0017635814520007387 - 0.00944692252707934im
11100010: -0.0009789089877556471 + 0.0012375109258804342im
00111100: 0.08297334205690533 - 0.029609076353308117im
01011100: -0.27840116548638705 - 0.24403516377765802im
10011100: 0.0008403621199462577 + 0.030828402930890394im
01101100: 0.021776512272602536 + 0.05675085509594552im
10101100: 0.0022363209744998952 - 0.00454296704084667im
11001100: -0.0212511939001225 + 0.0010822529098225325im
01110100: -0.044887272768247666 + 0.02993797557526988im
10110100: 0.004370382546574206 + 0.0010492670521417722im
11010100: -0.005086936037627348 - 0.018189741799895333im
11100100: -0.0006525171146071212 + 0.00303171944323913im
01111000: -0.08870364814017609 + 0.07720595064033431im
10111000: 0.009739422948201164 + 0.0010522555650107977im
11011000: -0.01605732434349407 - 0.03790558888554879im
11101000: -0.0005670487553628364 + 0.0067352384865975844im
11110000: -0.005942668978523605 + 0.0008242259808879162im

----------------------

Scaled ESP state vector in the qubit Hilbert space

00001111: 0.9999999999999999 - 0.0im
00010111: 0.19527514845799643 + 0.8658844761387313im
00100111: 0.03787199959811882 - 0.14073243957629955im
01000111: -0.5940884832548725 + 0.14881363107547466im
10000111: 0.04271946395877189 + 0.027890294218621974im
00011011: 0.6630391947876629 + 1.817458593853948im
00101011: 0.04271280029045868 - 0.3147593714326729im
01001011: -1.2428418839641047 + 0.48698231746818016im
10001011: 0.10010679522583511 + 0.0484050082685958im
00110011: 0.28088600186051255 - 0.02448033228113878im
01010011: -0.6643665622506673 - 0.981061949279515im
10010011: -0.022364775927764872 + 0.09613321511781016im
01100011: 0.02146530223780329 + 0.19335116446931913im
10100011: 0.010603399409912262 - 0.01225507905660167im
11000011: -0.06667561918191146 - 0.01385960225134432im
00011101: 2.7462471169142804 + 2.629748897661332im
00101101: -0.1977896795632562 - 0.5921347139466477im
01001101: -1.7691836665175036 + 1.9371852824521183im
10001101: 0.21853725758281273 - 0.0015000140015609753im
00110101: 0.47409684754907616 - 0.2868922072473425im
01010101: -2.0228562666083816 - 1.1536245286542257im
10010101: 0.04397373425602958 + 0.18893510334204502im
01100101: 0.2056222876034409 + 0.3223466136860601im
10100101: 0.008065342301512006 - 0.030812089927607776im
11000101: -0.1296072453618178 + 0.03341246386922352im
00111001: 0.9450380147066528 - 0.752083076838867im
01011001: -4.693792153159244 - 1.9309882889867118im
10011001: 0.14762498063685053 + 0.396187848795392im
01101001: 0.534180433228152 + 0.6396097469169961im
10101001: 0.008862194774887679 - 0.06885071962986805im
11001001: -0.27087677663586024 + 0.1082880603784927im
01110001: -0.44951598724046204 + 0.5874384328737121im
10110001: 0.06134733569881236 - 0.005771197617069295im
11010001: -0.14666045320430052 - 0.21340202876884967im
11100001: 0.0049809977381579905 + 0.04222223497966512im
00011110: -0.207912145494421 - 1.3032047253696486im
00101110: -0.06949160750812589 + 0.20523204871273693im
01001110: 0.8955383383134312 - 0.16465990596786637im
10001110: -0.060749124466219634 - 0.045419063621313094im
00110110: -0.19127722895924087 - 0.02009498538249345im
01010110: 0.3174528383840215 + 0.7432787573497206im
10010110: 0.027464867811618082 - 0.0614709382057943im
01100110: 0.010742837321444357 - 0.13226729497759632im
10100110: -0.008692626444069316 + 0.006829261729042076im
11000110: 0.04284933099073402 + 0.017942644821168578im
00111010: -0.4190764101539042 + 0.00977877305674657im
01011010: 0.8930395799013008 + 1.5184278776266846im
10011010: 0.04226821693321697 - 0.1405236377017192im
01101010: -0.013577298305777892 - 0.2889121701408481im
10101010: -0.01689084113765101 + 0.017181380838235775im
11001010: 0.09761983716030932 + 0.02686496518227608im
01110010: 0.24751325415019101 - 0.06817373874645327im
10110010: -0.018175452457190915 - 0.011270420436117519im
11010010: -0.004199228109415522 + 0.08977356162458984im
11100010: 0.007477830522937847 - 0.012720847884025022im
00111100: -0.730549880636025 + 0.3808724438345566im
01011100: 2.892383785887477 + 1.902844165957574im
10011100: -0.047391375429464436 - 0.28448691562190925im
01101100: -0.2746290872903894 - 0.49771130774718025im
10101100: -0.014878654383208907 + 0.044955087478037024im
11001100: 0.19546150035084106 - 0.03732764433046656im
01110100: 0.3773322591854725 - 0.3349877128904484im
10110100: -0.04183134381422694 - 0.00410458447503815im
11010100: 0.07049020125541156 + 0.16195791754835806im
11100100: 0.002149307412471802 - 0.02892144631870025im
01111000: 0.722479844621108 - 0.8291290995435873im
10111000: -0.0915691410961809 + 0.0027656467293008867im
11011000: 0.19744008378133965 + 0.3304934923400289im
11101000: -0.0034005178375612257 - 0.06311770720731988im
11110000: 0.05398860621472629 - 0.01526977525161544im

